tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
TDG,2021,2,2021/05/11 11:43:37.899,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:43:37.899,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:43:47.000,,,,,1.0,1.0
TDG,2021,2,2021/05/11 11:43:47.017,0.049,0.0,,,,
TDG,2021,2,2021/05/11 11:43:47.047,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:43:47.047,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:43:47.047,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:43:47.047,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:43:49.016,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:49.016,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:43:49.016,-2.0,1.0,,,,
TDG,2021,2,2021/05/11 11:43:50.375,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:51.000,,,,,1.0,1.0
TDG,2021,2,2021/05/11 11:43:52.980,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:52.980,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:53.000,,,,,1.0,3.0
TDG,2021,2,2021/05/11 11:43:53.865,0.004,0.333,,,,
TDG,2021,2,2021/05/11 11:43:53.866,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:53.866,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:43:53.866,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:43:53.894,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:44:00.000,,,12.0,15.006,,
TDG,2021,2,2021/05/11 11:44:32.000,,,,,1.0,36.0
TDG,2021,2,2021/05/11 11:44:32.376,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:44:32.413,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:44:32.413,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:44:33.000,,,,,1.0,9.0
TDG,2021,2,2021/05/11 11:44:33.544,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:44:33.578,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:44:50.000,,,,,1.0,4.0
TDG,2021,2,2021/05/11 11:44:50.813,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:44:50.851,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:44:51.000,,,,,1.0,4.0
TDG,2021,2,2021/05/11 11:44:51.854,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:44:51.875,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:44:59.000,,,,,1.0,100.0
TDG,2021,2,2021/05/11 11:44:59.489,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:44:59.513,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:44:59.513,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:00.000,,,40.0,70.524,,
TDG,2021,2,2021/05/11 11:45:08.062,0.004,0.333,,,,
TDG,2021,2,2021/05/11 11:45:09.000,,,,,2.0,10.0
TDG,2021,2,2021/05/11 11:45:09.412,0.048,0.0,,,,
