tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
RFIL,2021,2,2021/06/14 16:35:34.016,0.011,0.0,,,,
RFIL,2021,2,2021/06/14 16:35:47.287,0.011,0.333,,,,
RFIL,2021,2,2021/06/14 16:35:52.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:35:52.985,0.011,0.0,,,,
RFIL,2021,2,2021/06/14 16:35:53.000,,,,,7.0,2718.0
RFIL,2021,2,2021/06/14 16:35:53.053,0.147,-0.667,,,,
RFIL,2021,2,2021/06/14 16:36:00.000,,,8.0,0.266,,
RFIL,2021,2,2021/06/14 16:36:02.000,,,,,1.0,150.0
RFIL,2021,2,2021/06/14 16:36:03.000,,,,,3.0,100.0
RFIL,2021,2,2021/06/14 16:36:09.000,,,,,1.0,40.0
RFIL,2021,2,2021/06/14 16:36:17.000,,,,,1.0,3.0
RFIL,2021,2,2021/06/14 16:36:23.000,,,,,3.0,500.0
RFIL,2021,2,2021/06/14 16:36:23.710,0.075,0.0,,,,
RFIL,2021,2,2021/06/14 16:36:31.369,0.01,0.487,,,,
RFIL,2021,2,2021/06/14 16:36:34.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:36:34.951,0.01,0.526,,,,
RFIL,2021,2,2021/06/14 16:36:36.000,,,,,1.0,44.0
RFIL,2021,2,2021/06/14 16:36:36.595,0.01,0.568,,,,
RFIL,2021,2,2021/06/14 16:36:37.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:36:41.000,,,,,2.0,281.0
RFIL,2021,2,2021/06/14 16:36:42.000,,,,,4.0,900.0
RFIL,2021,2,2021/06/14 16:36:42.167,0.077,-0.429,,,,
RFIL,2021,2,2021/06/14 16:36:42.171,0.001,0.333,,,,
RFIL,2021,2,2021/06/14 16:36:44.000,,,,,3.0,1895.0
RFIL,2021,2,2021/06/14 16:36:44.280,0.006,0.714,,,,
RFIL,2021,2,2021/06/14 16:36:44.407,0.077,-0.429,,,,
RFIL,2021,2,2021/06/14 16:36:45.000,,,,,2.0,400.0
RFIL,2021,2,2021/06/14 16:36:46.000,,,,,2.0,434.0
RFIL,2021,2,2021/06/14 16:36:51.000,,,,,2.0,220.0
RFIL,2021,2,2021/06/14 16:36:57.000,,,,,2.0,289.0
RFIL,2021,2,2021/06/14 16:37:00.000,,,5.0,7.026,,
RFIL,2021,2,2021/06/14 16:37:08.000,,,,,10.0,2000.0
RFIL,2021,2,2021/06/14 16:37:08.670,0.083,-0.667,,,,
RFIL,2021,2,2021/06/14 16:37:08.670,-2.0,1.0,,,,
RFIL,2021,2,2021/06/14 16:37:08.670,0.019,0.529,,,,
RFIL,2021,2,2021/06/14 16:37:19.000,,,,,1.0,20.0
RFIL,2021,2,2021/06/14 16:37:25.213,,,,,,
RFIL,2021,2,2021/06/14 16:37:25.213,0.147,-0.667,,,,
RFIL,2021,2,2021/06/14 16:37:29.000,,,,,1.0,10.0
RFIL,2021,2,2021/06/14 16:37:44.000,,,,,1.0,5.0
RFIL,2021,2,2021/06/14 16:37:54.000,,,,,1.0,1.0
RFIL,2021,2,2021/06/14 16:37:59.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:38:13.000,,,,,1.0,500.0
RFIL,2021,2,2021/06/14 16:38:18.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:38:19.000,,,,,1.0,13.0
RFIL,2021,2,2021/06/14 16:38:26.000,,,,,1.0,3.0
RFIL,2021,2,2021/06/14 16:39:13.000,,,,,1.0,40.0
RFIL,2021,2,2021/06/14 16:39:28.000,,,,,1.0,11.0
RFIL,2021,2,2021/06/14 16:39:36.000,,,,,2.0,500.0
RFIL,2021,2,2021/06/14 16:39:46.000,,,,,1.0,1.0
RFIL,2021,2,2021/06/14 16:40:00.000,,,1.0,,,
RFIL,2021,2,2021/06/14 16:40:18.000,,,,,2.0,335.0
RFIL,2021,2,2021/06/14 16:40:57.506,0.018,-0.333,,,,
RFIL,2021,2,2021/06/14 16:41:00.000,,,1.0,,,
RFIL,2021,2,2021/06/14 16:41:05.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:41:20.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:41:24.000,,,,,3.0,453.0
RFIL,2021,2,2021/06/14 16:41:24.533,0.016,-0.143,,,,
RFIL,2021,2,2021/06/14 16:41:44.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:41:51.000,,,,,1.0,417.0
RFIL,2021,2,2021/06/14 16:42:00.000,,,4.0,0.044,,
RFIL,2021,2,2021/06/14 16:42:03.000,,,,,1.0,300.0
RFIL,2021,2,2021/06/14 16:42:11.920,0.013,-0.935,,,,
RFIL,2021,2,2021/06/14 16:42:15.000,,,,,3.0,500.0
RFIL,2021,2,2021/06/14 16:42:15.325,0.006,0.0,,,,
RFIL,2021,2,2021/06/14 16:42:16.000,,,,,1.0,200.0
RFIL,2021,2,2021/06/14 16:42:16.902,0.011,0.6,,,,
RFIL,2021,2,2021/06/14 16:42:18.000,,,,,1.0,36.0
RFIL,2021,2,2021/06/14 16:42:18.400,0.011,0.556,,,,
RFIL,2021,2,2021/06/14 16:42:22.000,,,,,1.0,2.0
RFIL,2021,2,2021/06/14 16:42:32.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:42:53.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:43:00.000,,,9.0,0.03,,
RFIL,2021,2,2021/06/14 16:43:31.000,,,,,4.0,211.0
RFIL,2021,2,2021/06/14 16:43:31.136,0.011,0.75,,,,
RFIL,2021,2,2021/06/14 16:43:31.182,0.015,0.0,,,,
RFIL,2021,2,2021/06/14 16:43:31.185,0.011,0.714,,,,
RFIL,2021,2,2021/06/14 16:43:31.373,0.017,-0.935,,,,
RFIL,2021,2,2021/06/14 16:43:31.373,0.011,0.667,,,,
RFIL,2021,2,2021/06/14 16:43:34.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:43:34.966,0.011,0.6,,,,
RFIL,2021,2,2021/06/14 16:43:36.000,,,,,1.0,10.0
RFIL,2021,2,2021/06/14 16:43:48.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:43:48.916,0.013,0.0,,,,
RFIL,2021,2,2021/06/14 16:43:48.916,0.009,-0.25,,,,
RFIL,2021,2,2021/06/14 16:43:59.000,,,,,1.0,200.0
RFIL,2021,2,2021/06/14 16:43:59.803,0.017,-0.935,,,,
RFIL,2021,2,2021/06/14 16:44:00.000,,,2.0,0.039,,
RFIL,2021,2,2021/06/14 16:44:02.000,,,,,1.0,144.0
RFIL,2021,2,2021/06/14 16:44:02.425,0.015,-0.667,,,,
RFIL,2021,2,2021/06/14 16:44:04.000,,,,,3.0,203.0
RFIL,2021,2,2021/06/14 16:44:04.178,0.035,-0.875,,,,
RFIL,2021,2,2021/06/14 16:44:19.000,,,,,8.0,600.0
RFIL,2021,2,2021/06/14 16:44:37.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:44:48.000,,,,,1.0,3.0
RFIL,2021,2,2021/06/14 16:44:54.000,,,,,2.0,500.0
RFIL,2021,2,2021/06/14 16:44:59.000,,,,,1.0,13.0
RFIL,2021,2,2021/06/14 16:45:00.000,,,7.0,0.114,,
RFIL,2021,2,2021/06/14 16:45:07.000,,,,,1.0,13.0
RFIL,2021,2,2021/06/14 16:45:45.000,,,,,22.0,7550.0
RFIL,2021,2,2021/06/14 16:45:45.170,0.02,0.333,,,,
RFIL,2021,2,2021/06/14 16:45:45.170,0.023,-0.364,,,,
RFIL,2021,2,2021/06/14 16:45:45.172,0.029,-0.429,,,,
RFIL,2021,2,2021/06/14 16:45:45.176,0.056,-0.667,,,,
RFIL,2021,2,2021/06/14 16:45:45.177,0.041,0.0,,,,
RFIL,2021,2,2021/06/14 16:45:45.177,0.029,-0.5,,,,
RFIL,2021,2,2021/06/14 16:45:59.865,0.12,-0.765,,,,
RFIL,2021,2,2021/06/14 16:46:00.000,,,6.0,0.161,,
RFIL,2021,2,2021/06/14 16:46:10.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:46:14.000,,,,,1.0,300.0
RFIL,2021,2,2021/06/14 16:46:17.486,0.048,-0.6,,,,
RFIL,2021,2,2021/06/14 16:46:30.753,0.029,-0.429,,,,
RFIL,2021,2,2021/06/14 16:46:37.942,0.029,-0.111,,,,
RFIL,2021,2,2021/06/14 16:46:44.175,0.036,-0.667,,,,
RFIL,2021,2,2021/06/14 16:46:52.000,,,,,2.0,110.0
RFIL,2021,2,2021/06/14 16:46:54.003,0.036,-0.8,,,,
RFIL,2021,2,2021/06/14 16:46:57.000,,,,,1.0,50.0
RFIL,2021,2,2021/06/14 16:46:57.987,0.029,-0.154,,,,
RFIL,2021,2,2021/06/14 16:47:00.000,,,7.0,0.131,,
RFIL,2021,2,2021/06/14 16:47:01.000,,,,,1.0,34.0
RFIL,2021,2,2021/06/14 16:47:06.897,0.029,-0.2,,,,
RFIL,2021,2,2021/06/14 16:47:06.969,0.028,-0.875,,,,
