tic,name,year,quarter,timestamp_utc_start,timestamp_utc_end,timestamp_et_start,timestamp_et_end,is_sp500,mcap,mcap_rank
RFIL,"RF Industries, Ltd.",2021,4,2021-12-22 13:30:00+00:00,2021-12-22 14:20:00.734000+00:00,2021-12-22 08:30:00-05:00,2021-12-22 09:20:00.734000-05:00,FALSE,70511824,84
SMPL,The Simply Good Foods Company,2021,1,2021-01-06 13:30:00+00:00,2021-01-06 14:24:18.605000+00:00,2021-01-06 08:30:00-05:00,2021-01-06 09:24:18.605000-05:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,2,2021-04-07 12:30:00+00:00,2021-04-07 13:32:47.869000+00:00,2021-04-07 08:30:00-04:00,2021-04-07 09:32:47.869000-04:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,3,2021-07-01 12:30:00+00:00,2021-07-01 13:26:30.849000+00:00,2021-07-01 08:30:00-04:00,2021-07-01 09:26:30.849000-04:00,FALSE,1954218112,62
SMPL,The Simply Good Foods Company,2021,4,2021-10-22 12:30:00+00:00,2021-10-22 13:33:36.157000+00:00,2021-10-22 08:30:00-04:00,2021-10-22 09:33:36.157000-04:00,FALSE,1954218112,62
TDG,Transdigm Group Incorporated,2021,1,2021-02-09 16:00:00+00:00,2021-02-09 16:57:57.089000+00:00,2021-02-09 11:00:00-05:00,2021-02-09 11:57:57.089000-05:00,TRUE,74624376832,14
TDG,Transdigm Group Incorporated,2021,2,2021-05-11 15:00:00+00:00,2021-05-11 15:56:32.356000+00:00,2021-05-11 11:00:00-04:00,2021-05-11 11:56:32.356000-04:00,TRUE,74624376832,14
TDG,Transdigm Group Incorporated,2021,3,2021-08-10 15:00:00+00:00,2021-08-10 15:44:40.253000+00:00,2021-08-10 11:00:00-04:00,2021-08-10 11:44:40.253000-04:00,TRUE,74624376832,14
TDG,Transdigm Group Incorporated,2021,4,2021-11-16 16:00:00+00:00,2021-11-16 16:59:03.281000+00:00,2021-11-16 11:00:00-05:00,2021-11-16 11:59:03.281000-05:00,TRUE,74624376832,14
TRV,"The Travelers Companies, Inc.",2021,1,2021-04-20 13:00:00+00:00,2021-04-20 13:59:45.777000+00:00,2021-04-20 09:00:00-04:00,2021-04-20 09:59:45.777000-04:00,FALSE,64112893952,17
TRV,"The Travelers Companies, Inc.",2021,2,2021-07-20 13:00:00+00:00,2021-07-20 14:04:52.850000+00:00,2021-07-20 09:00:00-04:00,2021-07-20 10:04:52.850000-04:00,FALSE,64112893952,17
TRV,"The Travelers Companies, Inc.",2021,3,2021-10-19 13:00:00+00:00,2021-10-19 14:08:27.769000+00:00,2021-10-19 09:00:00-04:00,2021-10-19 10:08:27.769000-04:00,FALSE,64112893952,17
TRV,"The Travelers Companies, Inc.",2021,4,2021-01-20 14:00:00+00:00,2021-01-20 15:15:47.018000+00:00,2021-01-20 09:00:00-05:00,2021-01-20 10:15:47.018000-05:00,FALSE,64112893952,17
