tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
JOUT,2021,3,2021-08-09 11:10:00,2021-08-09 11:10:00.823334,2021-08-09 15:10:00.823334,0.012,0.0,1,,2.0,22.0,120.44272727272727
JOUT,2021,3,2021-08-09 11:11:00,2021-08-09 11:11:00.879500,2021-08-09 15:11:00.879500,0.012,-0.333,2,0.0,1.0,1.0,120.8
JOUT,2021,3,2021-08-09 11:11:00,2021-08-09 11:11:01.940118,2021-08-09 15:11:01.940118,0.012,0.0,2,0.0,1.0,1.0,120.8
JOUT,2021,3,2021-08-09 11:12:00,2021-08-09 11:12:00.855235,2021-08-09 15:12:00.855235,0.012,-0.333,4,60.656,4.0,102.0,121.52549019607844
JOUT,2021,3,2021-08-09 11:12:00,2021-08-09 11:12:01.924191,2021-08-09 15:12:01.924191,0.012,0.0,4,60.656,4.0,102.0,121.52549019607844
JOUT,2021,3,2021-08-09 11:12:00,2021-08-09 11:12:47.455575,2021-08-09 15:12:47.455575,0.018,0.0,4,60.656,4.0,102.0,121.52549019607844
JOUT,2021,3,2021-08-09 11:12:00,2021-08-09 11:12:50.861054,2021-08-09 15:12:50.861054,,,4,60.656,4.0,102.0,121.52549019607844
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:00.878478,2021-08-09 15:13:00.878478,0.013,-0.333,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.515255,2021-08-09 15:13:01.515255,0.055,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.515315,2021-08-09 15:13:01.515315,0.031,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.515365,2021-08-09 15:13:01.515365,0.056,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.522399,2021-08-09 15:13:01.522399,0.125,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.522516,2021-08-09 15:13:01.522516,0.031,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.559209,2021-08-09 15:13:01.559209,0.056,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:01.949852,2021-08-09 15:13:01.949852,0.013,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:11.403186,2021-08-09 15:13:11.403186,0.055,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:11.403322,2021-08-09 15:13:11.403322,0.125,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:11.512356,2021-08-09 15:13:11.512356,0.012,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:14.282420,2021-08-09 15:13:14.282420,0.018,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:17.294878,2021-08-09 15:13:17.294878,0.055,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:17.300579,2021-08-09 15:13:17.300579,0.125,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:19.322729,2021-08-09 15:13:19.322729,0.013,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:19.322758,2021-08-09 15:13:19.322758,0.014,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:20.769215,2021-08-09 15:13:20.769215,0.013,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:13:00,2021-08-09 11:13:21.853603,2021-08-09 15:13:21.853603,0.012,0.0,18,28.567,15.0,343.0,120.58091836734692
JOUT,2021,3,2021-08-09 11:14:00,2021-08-09 11:14:00.091018,2021-08-09 15:14:00.091018,0.017,0.0,4,0.242,7.0,142.0,120.93436619718308
JOUT,2021,3,2021-08-09 11:14:00,2021-08-09 11:14:42.161908,2021-08-09 15:14:42.161908,0.018,0.0,4,0.242,7.0,142.0,120.93436619718308
JOUT,2021,3,2021-08-09 11:14:00,2021-08-09 11:14:42.162002,2021-08-09 15:14:42.162002,0.017,0.0,4,0.242,7.0,142.0,120.93436619718308
JOUT,2021,3,2021-08-09 11:14:00,2021-08-09 11:14:42.162151,2021-08-09 15:14:42.162151,0.018,0.0,4,0.242,7.0,142.0,120.93436619718308
JOUT,2021,4,2021-12-10 11:00:00,2021-12-10 11:00:40.298083,2021-12-10 16:00:40.298083,-2.0,1.0,1,,,,
JOUT,2021,4,2021-12-10 11:12:00,2021-12-10 11:12:36.450747,2021-12-10 16:12:36.450747,-2.0,1.0,5,73.874,9.0,193.0,99.29145077720207
JOUT,2021,4,2021-12-10 11:12:00,2021-12-10 11:12:36.459357,2021-12-10 16:12:36.459357,0.018,0.778,5,73.874,9.0,193.0,99.29145077720207
JOUT,2021,4,2021-12-10 11:12:00,2021-12-10 11:12:54.650694,2021-12-10 16:12:54.650694,0.007,0.0,5,73.874,9.0,193.0,99.29145077720207
JOUT,2021,4,2021-12-10 11:12:00,2021-12-10 11:12:54.659470,2021-12-10 16:12:54.659470,,,5,73.874,9.0,193.0,99.29145077720207
JOUT,2021,4,2021-12-10 11:12:00,2021-12-10 11:12:58.522683,2021-12-10 16:12:58.522683,0.007,0.0,5,73.874,9.0,193.0,99.29145077720207
JOUT,2021,4,2021-12-10 11:13:00,2021-12-10 11:13:36.853881,2021-12-10 16:13:36.853881,0.006,0.0,1,,1.0,10.0,99.6369
JOUT,2021,4,2021-12-10 11:14:00,2021-12-10 11:14:29.528002,2021-12-10 16:14:29.528002,0.006,0.0,4,0.011,3.0,33.0,99.8788
JOUT,2021,4,2021-12-10 11:14:00,2021-12-10 11:14:29.858729,2021-12-10 16:14:29.858729,0.006,0.0,4,0.011,3.0,33.0,99.8788
JOUT,2021,4,2021-12-10 11:14:00,2021-12-10 11:14:52.327009,2021-12-10 16:14:52.327009,0.006,0.333,4,0.011,3.0,33.0,99.8788
JOUT,2021,4,2021-12-10 11:14:00,2021-12-10 11:14:58.886794,2021-12-10 16:14:58.886794,0.006,0.0,4,0.011,3.0,33.0,99.8788
JOUT,2021,4,2021-12-10 11:15:00,2021-12-10 11:15:12.061358,2021-12-10 16:15:12.061358,0.004,0.0,2,0.074,1.0,15.0,99.69
